N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,현대건설,"56,300",200,+0.36%,"5,000","62,693","111,356",21.04,"851,752",50.90,1.84,
60,강원랜드,"28,550",0,0.00%,500,"61,080","213,940",20.35,"1,116,108",-38.02,-7.92,
61,한국금융지주,"109,500",500,-0.45%,"5,000","61,020","55,726",32.99,"244,736",4.89,16.27,
62,현대중공업지주,"75,100","1,200",-1.57%,"1,000","59,324","78,993",17.41,"267,800",-26.23,-8.12,
63,코웨이,"79,800",900,-1.12%,500,"58,892","73,800",58.70,"372,378",13.73,31.51,
64,두산밥캣,"51,600",400,-0.77%,500,"51,729","100,249",25.14,"459,399",15.71,6.15,
65,SKC,"134,500",500,+0.37%,"5,000","50,933","37,868",12.92,"143,826","-2,134.92",2.21,
66,LG이노텍,"213,000",500,-0.23%,"5,000","50,411","23,667",30.16,"159,706",12.39,10.20,
67,한진칼,"71,500",0,0.00%,"2,500","47,378","66,263",15.72,"186,478",-58.22,-19.55,
68,오리온,"119,500",500,+0.42%,500,"47,246","39,536",39.64,"81,256",17.76,15.50,
69,한미사이언스,"70,000","1,200",+1.74%,500,"47,113","67,305",1.63,"107,138",170.32,3.47,
70,맥쿼리인프라,"12,550",50,+0.40%,0,"46,710","372,192",15.02,"841,821",N/A,N/A,
71,KODEX 200,"43,360",155,+0.36%,0,"46,699","107,700",3.49,"3,821,341",N/A,N/A,
72,삼성중공업,"7,110",80,+1.14%,"5,000","44,793","630,000",14.23,"36,177,233",-2.50,-33.06,
73,유한양행,"63,800",200,+0.31%,"1,000","44,643","69,973",18.21,"200,593",46.54,11.06,
74,이마트,"160,000","1,000",-0.62%,"5,000","44,601","27,876",31.28,"128,494",11.03,4.05,
75,롯데지주,"42,050",250,+0.60%,200,"44,114","104,909",9.12,"387,039",-103.32,-3.03,
76,GS,"47,400",50,+0.11%,"5,000","44,042","92,915",18.36,"230,461",6.96,-2.82,
77,현대차2우B,"119,000","2,000",+1.71%,"5,000","43,418","36,485",61.65,"108,940",14.40,N/A,
78,대우조선해양,"39,400","1,050",+2.74%,"5,000","42,273","107,291",7.54,"1,176,170",-10.82,2.27,
79,삼성증권,"46,500",50,+0.11%,"5,000","41,524","89,300",28.05,"342,534",5.31,9.89,
80,쌍용C&E,"8,000",170,+2.17%,100,"40,309","503,860",3.43,"2,360,781",29.20,7.92,
81,한미약품,"332,000","3,000",-0.90%,"2,500","40,100","12,078",13.73,"62,254",170.87,1.65,
82,삼성카드,"33,800",300,+0.90%,"5,000","39,160","115,859",9.44,"234,973",9.21,5.69,
83,두산인프라코어,"17,150","1,700",+11.00%,"5,000","38,884","226,729",10.52,"27,720,290",16.32,6.47,
84,GS건설,"44,950",150,+0.33%,"5,000","38,428","85,491",27.72,"733,161",10.81,7.68,
85,녹십자,"328,000","4,000",+1.23%,"5,000","38,332","11,687",20.32,"256,188",38.28,7.48,
86,삼성엔지니어링,"19,550",50,-0.26%,"5,000","38,318","196,000",30.03,"2,199,668",13.54,16.75,
87,호텔신라,"97,300",600,+0.62%,"5,000","38,188","39,248",19.52,"589,079",-18.41,-36.74,
